Mã số,Tên,Tên (EN),Tên (Zh),Ngũ hành,Hệ sao,Mã Loại sao,Loại sao,Phương vị,Âm Dương,Vòng Trường Sinh
89,Thiên sứ,,,Thủy,Sao đôi khác,12,Bại tinh,,,FALSE
90,Thiên la,,,Thổ,Sao đôi khác,12,Bại tinh,,,FALSE
91,Địa võng,,,Thổ,Sao đôi khác,12,Bại tinh,,,FALSE
92,Hóa khoa,,,Thủy,Sao đôi khác,5,Phúc tinh,,,FALSE
93,Hóa quyền,,,Thủy,Sao đôi khác,4,Quyền tinh,,,FALSE
94,Hóa lộc,,,Mộc,Sao đôi khác,3,Quý tinh,,,FALSE
95,Hóa kỵ,,,Thủy,Sao đôi khác,13,Ám tinh,,,FALSE
96,Cô thần,,,Thổ,Sao đôi khác,13,Ám tinh,,,FALSE
97,Quả tú,,,Thổ,Sao đôi khác,13,Ám tinh,,,FALSE
98,Thiên mã,,,Hỏa,Sao đôi khác,3,Quý tinh,,,FALSE
99,Phá toái,,,Hỏa,Sao đôi khác,12,Bại tinh,,,FALSE
100,Thiên quan,,,Hỏa,Sao đôi khác,5,Phúc tinh,,,FALSE
101,Thiên phúc,,,Hỏa,Sao đôi khác,5,Phúc tinh,,,FALSE
102,Lưu hà,,,Thủy,Sao đôi khác,12,Bại tinh,,,FALSE
103,Thiên trù,,,Thổ,Sao đôi khác,5,Phúc tinh,,,FALSE
104,Kiếp sát,,,Hỏa,Sao đôi khác,11,Sát tinh,,,FALSE
105,Hoa cái,,,Kim,Sao đôi khác,14,Dâm tinh,,,FALSE
106,Văn tinh,,,Hỏa,Sao đôi khác,6,Văn tinh,,,FALSE
107,Đẩu quân,,,Hỏa,Sao đôi khác,5,Phúc tinh,,,FALSE
108,Thiên không,,,Thủy,Sao đôi khác,11,Sát tinh,,,FALSE
110,Tuần không,,,,,,,,,
111,Triệt không,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,Lưu thái tuế,,,,,,,,,
122,Lưu tang môn,,,,,,,,,
123,Lưu bạch hổ,,,,,,,,,
124,Lưu thiên hư,,,,,,,,,
125,Lưu thiên khốc,,,,,,,,,
126,Lưu lộc tồn,,,,,,,,,
127,Lưu kình dương,,,,,,,,,
128,Lưu thiên mã,,,,,,,,,
129,Lưu đà la,,,,,,,,,
